Designator,Footprint,Quantity,Value,LCSC Part #
"C1_6, C1_5, C1_4, C1_3, C1_2, C1, C10_6, C10_5, C10_4, C10_3, C10_2, C10, C16_6, C16_5, C16_4, C16_3, C16_2, C16, C17_6, C17_5, C17_4, C17_3, C17_2, C17, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C5_6, C5_5, C5_4, C5_3, C5_2, C5, C6_6, C6_5, C6_4, C6_3, C6_2, C6, C7_6, C7_5, C7_4, C7_3, C7_2, C7, C8_6, C8_5, C8_4, C8_3, C8_2, C8, C9_6, C9_5, C9_4, C9_3, C9_2, C9",0402,66,0.1uF,C1525
"C11_6, C11_5, C11_4, C11_3, C11_2, C11, C12_6, C12_5, C12_4, C12_3, C12_2, C12",0402,12,2.2uF,C107369
"C13_6, C13_5, C13_4, C13_3, C13_2, C13, C19_6, C19_5, C19_4, C19_3, C19_2, C19",0402,12,10uF,C15525
"C14_6, C14_5, C14_4, C14_3, C14_2, C14, C15_6, C15_5, C15_4, C15_3, C15_2, C15",0402,12,22pF,C1554
"C3_6, C3_5, C3_4, C3_3, C3_2, C3",0402,6,1uF,C14445
"D1_6, D1_5, D1_4, D1_3, D1_2, D1",0402,6,LED,C2856703
"D3_6, D3_5, D3_4, D3_3, D3_2, D3",D_SOD-123,6,1N4002W,C169542
"F1_6, F1_5, F1_4, F1_3, F1_2, F1",0805,6,0805L050WR,C207022
"FB1_6, FB1_5, FB1_4, FB1_3, FB1_2, FB1",0402,6,FB,C160973
"J4_6, J4_5, J4_4, J4_3, J4_2, J4",HRO-TYPE-C-31-M-12,6,USB_C_Receptacle_USB2.0,C165948
"R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_6, R2_5, R2_4, R2_3, R2_2, R2",0402,12,27,C25100
"R10_6, R10_5, R10_4, R10_3, R10_2, R10, R14_6, R14_5, R14_4, R14_3, R14_2, R14, R9_6, R9_5, R9_4, R9_3, R9_2, R9",0402,18,10k,C25744
"R11_6, R11_5, R11_4, R11_3, R11_2, R11, R12_6, R12_5, R12_4, R12_3, R12_2, R12",0402,12,5.1k,C25905
"R13_6, R13_5, R13_4, R13_3, R13_2, R13",0402,6,5.6k,C25908
"R15_6, R15_5, R15_4, R15_3, R15_2, R15",0402,6,100k,C60491
"R3_6, R3_5, R3_4, R3_3, R3_2, R3",0402,6,200,C25092
"R4_6, R4_5, R4_4, R4_3, R4_2, R4",0402,6,1,C25086
"R5_6, R5_5, R5_4, R5_3, R5_2, R5",0402,6,470,C25900
"R7_6, R7_5, R7_4, R7_3, R7_2, R7, R8_6, R8_5, R8_4, R8_3, R8_2, R8",0402,12,1k,C11702
"SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1",SW_Push_SPST_NO_Alps_SKRK,6,RESET,C139797
"SW2_6, SW2_5, SW2_4, SW2_3, SW2_2, SW2",SW_Push_SPST_NO_Alps_SKRK,6,BOOT_SEL,C139797
"U1_6, U1_5, U1_4, U1_3, U1_2, U1",RP2040-QFN-56,6,RP2040,C2040
"U2_6, U2_5, U2_4, U2_3, U2_2, U2",SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,6,W25Q16JVUXIQ,C2843335
"U3_6, U3_5, U3_4, U3_3, U3_2, U3",SOT-23-5,6,TLV75533PDBVR,C404027
"Y1_6, Y1_5, Y1_4, Y1_3, Y1_2, Y1",Crystal_SMD_3225-4Pin_3.2x2.5mm,6,12MHz,C9002
